Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 171.233 Hz
Solving frequency = 197.278 Hz
Solving frequency = 224.618 Hz
Solving frequency = 261.438 Hz
Solving frequency = 253.1 Hz
Solving frequency = 253.936 Hz
Solving frequency = 266.312 Hz
Solving frequency = 303.951 Hz
Solving frequency = 265.675 Hz
Solving frequency = 183.083 Hz
Solving frequency = 196.425 Hz
Solving frequency = 191.388 Hz
Solving frequency = 310.559 Hz
Solving frequency = 307.692 Hz
Solving frequency = 203.459 Hz
Solving frequency = 358.938 Hz
Solving frequency = 285.714 Hz
Solving frequency = 388.954 Hz
Solving frequency = 227.066 Hz
Solving frequency = 239.234 Hz
Solving frequency = 297.974 Hz
Solving frequency = 337.041 Hz
Solving frequency = 345.662 Hz
Solving frequency = 394.945 Hz
Solving frequency = 274.273 Hz
Solving frequency = 368.596 Hz
Solving frequency = 284.657 Hz
Solving frequency = 393.701 Hz
Solving frequency = 287.687 Hz
Solving frequency = 300.21 Hz
Solving frequency = 271.813 Hz
Solving frequency = 398.565 Hz
Solving frequency = 634.921 Hz
Solving frequency = 285.633 Hz
Solving frequency = 386.25 Hz
Solving frequency = 282.406 Hz
Solving frequency = 319.795 Hz
Solving frequency = 385.654 Hz
Solving frequency = 285.144 Hz
Solving frequency = 323.939 Hz
Solving frequency = 386.847 Hz
Solving frequency = 298.775 Hz
Solving frequency = 321.854 Hz
Solving frequency = 386.997 Hz
Solving frequency = 320.307 Hz
Solving frequency = 316.356 Hz
Solving frequency = 336.134 Hz
Solving frequency = 347.947 Hz
Solving frequency = 334.784 Hz
Solving frequency = 257.931 Hz
Solving frequency = 406.009 Hz
Solving frequency = 224.065 Hz
Solving frequency = 266.241 Hz
Solving frequency = 257.334 Hz
Solving frequency = 275.179 Hz
Solving frequency = 277.469 Hz
Solving frequency = 283.688 Hz
Solving frequency = 293.083 Hz
Solving frequency = 276.396 Hz
Solving frequency = 289.436 Hz
Solving frequency = 261.506 Hz
Solving frequency = 290.276 Hz
Solving frequency = 261.78 Hz
Solving frequency = 284.414 Hz
Solving frequency = 228.154 Hz
Solving frequency = 274.198 Hz
Solving frequency = 283.046 Hz
Solving frequency = 221.729 Hz
Solving frequency = 313.873 Hz
Solving frequency = 277.932 Hz
Solving frequency = 410.846 Hz
Solving frequency = 317.561 Hz
Solving frequency = 310.27 Hz
Solving frequency = 319.898 Hz
Solving frequency = 516.796 Hz
Solving frequency = 526.316 Hz
Solving frequency = 518.941 Hz
Solving frequency = 305.998 Hz
Solving frequency = 436.3 Hz
Solving frequency = 314.762 Hz
Solving frequency = 248.756 Hz
Solving frequency = 421.585 Hz
Solving frequency = 392.003 Hz
Solving frequency = 264.55 Hz
Solving frequency = 261.165 Hz
Solving frequency = 262.192 Hz
Solving frequency = 316.356 Hz
Solving frequency = 247.954 Hz
Solving frequency = 227.635 Hz
Solving frequency = 235.96 Hz
Solving frequency = 288.101 Hz
Solving frequency = 263.505 Hz
Solving frequency = 257.202 Hz
Solving frequency = 351.617 Hz
Solving frequency = 252.972 Hz
Solving frequency = 265.322 Hz
Solving frequency = 291.206 Hz
Solving frequency = 284.981 Hz
Solving frequency = 289.101 Hz
Solving frequency = 294.031 Hz
Solving frequency = 289.352 Hz
Solving frequency = 268.456 Hz
Solving frequency = 286.123 Hz
Solving frequency = 273.598 Hz
Solving frequency = 288.018 Hz
Solving frequency = 272.405 Hz
Solving frequency = 417.362 Hz
Solving frequency = 277.008 Hz
Solving frequency = 265.675 Hz
Solving frequency = 283.607 Hz
Solving frequency = 283.688 Hz
Solving frequency = 285.959 Hz
Solving frequency = 281.057 Hz
Solving frequency = 290.867 Hz
Solving frequency = 286.123 Hz
Solving frequency = 287.604 Hz
Solving frequency = 246.427 Hz
Solving frequency = 331.675 Hz
Solving frequency = 244.021 Hz
Solving frequency = 271.813 Hz
Solving frequency = 262.398 Hz
Solving frequency = 258.465 Hz
Solving frequency = 231.107 Hz
Solving frequency = 263.158 Hz
Solving frequency = 476.417 Hz
Solving frequency = 280.505 Hz
Solving frequency = 419.463 Hz
Solving frequency = 363.504 Hz
Solving frequency = 362.845 Hz
Solving frequency = 401.929 Hz
Solving frequency = 375.235 Hz
Solving frequency = 389.105 Hz
Solving frequency = 288.351 Hz
Solving frequency = 289.771 Hz
Solving frequency = 286.041 Hz
Solving frequency = 292.826 Hz
Solving frequency = 298.686 Hz
Solving frequency = 249.066 Hz
Solving frequency = 251.572 Hz
Solving frequency = 277.085 Hz
Solving frequency = 261.917 Hz
Solving frequency = 276.778 Hz
Solving frequency = 250.25 Hz
Solving frequency = 293.513 Hz
Solving frequency = 243.605 Hz
Solving frequency = 245.339 Hz
Solving frequency = 219.394 Hz
Solving frequency = 275.558 Hz
Solving frequency = 300.03 Hz
Solving frequency = 283.93 Hz
Solving frequency = 275.255 Hz
Solving frequency = 283.046 Hz
Solving frequency = 290.529 Hz
Solving frequency = 269.107 Hz
Solving frequency = 280.662 Hz
Solving frequency = 252.016 Hz
Solving frequency = 243.962 Hz
Solving frequency = 244.858 Hz
Solving frequency = 284.091 Hz
Solving frequency = 290.529 Hz
Solving frequency = 312.11 Hz
Solving frequency = 260.552 Hz
Solving frequency = 231.107 Hz
Solving frequency = 259 Hz
Solving frequency = 253.1 Hz
Solving frequency = 290.698 Hz
Solving frequency = 263.089 Hz
Solving frequency = 303.767 Hz
Solving frequency = 270.709 Hz
Solving frequency = 294.638 Hz
Solving frequency = 322.477 Hz
Solving frequency = 372.578 Hz
Solving frequency = 302.755 Hz
Solving frequency = 353.732 Hz
Solving frequency = 367.107 Hz
Solving frequency = 312.305 Hz
Solving frequency = 220.313 Hz
Solving frequency = 251.004 Hz
Solving frequency = 277.546 Hz
